Org,URL,Description
Justin and Darrianne Christian Center for Diversity and Inclusion,https://depauw.campuslabs.com/engage/organization/cdi,
K-pop Club,https://depauw.campuslabs.com/engage/organization/k-popclub,
Kappa Alpha Theta,https://depauw.campuslabs.com/engage/organization/kappaalphatheta,
"Kappa Delta Pi, International Education Honor Society",https://depauw.campuslabs.com/engage/organization/kdp_edstudies,
Kappa Kappa Gamma,https://depauw.campuslabs.com/engage/organization/kappakappagamma,
Kelly Writers Series,https://depauw.campuslabs.com/engage/organization/kellywritersseries,
La Fuerza Latina Latin Dance Group,https://depauw.campuslabs.com/engage/organization/lafuerzalatinalatin,
Lambda Sigma Upsilon,https://depauw.campuslabs.com/engage/organization/lambdasigmaupsilon,
Latin American and Caribbean Studies,https://depauw.campuslabs.com/engage/organization/lacs,
Lilly Scholars Network at DePauw University,https://depauw.campuslabs.com/engage/organization/lsn_depauw,
Little 5,https://depauw.campuslabs.com/engage/organization/little5,
Management Fellows,https://depauw.campuslabs.com/engage/organization/managementfellows,
Marketing Group at DePauw,https://depauw.campuslabs.com/engage/organization/marketinggroup,
Math Department,https://depauw.campuslabs.com/engage/organization/math,
McDermonCenter,https://depauw.campuslabs.com/engage/organization/mcdermondcenter,
McDermonCenter Consulting Group,https://depauw.campuslabs.com/engage/organization/consultinggroup,
McDermonCenter Innovations Group,https://depauw.campuslabs.com/engage/organization/innovationsgroup,
McDermonCenter Investment Banking Workshop,https://depauw.campuslabs.com/engage/organization/investmentbanking,
McDermonCenter Investment Group,https://depauw.campuslabs.com/engage/organization/investmentgroup,
McDermonCenter Women in Economics anBusiness,https://depauw.campuslabs.com/engage/organization/womeninecon,
McKim Observatory,https://depauw.campuslabs.com/engage/organization/mckimobservatory,
Media Fellows,https://depauw.campuslabs.com/engage/organization/mediafellows,
Men Against Sexual Assault,https://depauw.campuslabs.com/engage/organization/menagainstsexualassault,
Modern Languages,https://depauw.campuslabs.com/engage/organization/modernlanguages,
Moroccan Student Organization,https://depauw.campuslabs.com/engage/organization/mso,
Mu Sigma Upsilon,https://depauw.campuslabs.com/engage/organization/musigmaupsilon,
Music Education (MTEP & NAfME Collegiate),https://depauw.campuslabs.com/engage/organization/musiced,
Muslim Student Association,https://depauw.campuslabs.com/engage/organization/msa,
National Pan-Hellenic Council,https://depauw.campuslabs.com/engage/organization/nphc,
National Society of Leadership anSuccess,https://depauw.campuslabs.com/engage/organization/nsls,
Native American & Indigenous People Association,https://depauw.campuslabs.com/engage/organization/nativeamericanindigenous,
Office of Admission,https://depauw.campuslabs.com/engage/organization/admissions,
Office of Development and Alumni Engagement,https://depauw.campuslabs.com/engage/organization/alumniengagement,
Office of Public Safety,https://depauw.campuslabs.com/engage/organization/publicsafety,
Office of the Registrar,https://depauw.campuslabs.com/engage/organization/registrar,
Office of University Communications,https://depauw.campuslabs.com/engage/organization/comm,
Omega Phi Beta,https://depauw.campuslabs.com/engage/organization/omegaphibeta,
Order of Omega,https://depauw.campuslabs.com/engage/organization/orderofomega,
Orthodox Christian Fellowship,https://depauw.campuslabs.com/engage/organization/christianorthodox,
Our Unique Threads,https://depauw.campuslabs.com/engage/organization/ouruniquethreads,
Panhellenic Council,https://depauw.campuslabs.com/engage/organization/pha,
Peace and Conflict Studies,https://depauw.campuslabs.com/engage/organization/peaceandconflictstudies,
Peeler Art Center Galleries,https://depauw.campuslabs.com/engage/organization/peeler,
Phi Delta Theta,https://depauw.campuslabs.com/engage/organization/phideltaupsilon,
Phi Gamma Delta,https://depauw.campuslabs.com/engage/organization/phigammadelta,
Phi Kappa Psi,https://depauw.campuslabs.com/engage/organization/phikappapsi,
Physics and Astronomy Department,https://depauw.campuslabs.com/engage/organization/physicsandastronomy,
Pi Beta Phi,https://depauw.campuslabs.com/engage/organization/pibetaphi,
pickleballclub,https://depauw.campuslabs.com/engage/organization/depauwpickleball,
Political Science,https://depauw.campuslabs.com/engage/organization/politicalscience,
Posse Foundation,https://depauw.campuslabs.com/engage/organization/posse,
Presidential Ambassadors,https://depauw.campuslabs.com/engage/organization/presidentialambassadors,
Presidential Staff,https://depauw.campuslabs.com/engage/organization/presidentialstaff,
Prindle Institute for Ethics,https://depauw.campuslabs.com/engage/organization/prindle,
Psi Chi (Honor),https://depauw.campuslabs.com/engage/organization/psichi,
Psychology and Neuroscience,https://depauw.campuslabs.com/engage/organization/psych,
Pulliam Center for Contemporary Media,https://depauw.campuslabs.com/engage/organization/pccm,
Rector Scholars,https://depauw.campuslabs.com/engage/organization/rectorscholars,
Religious Studies,https://depauw.campuslabs.com/engage/organization/religiousstudies,
Rock Climbing Club,https://depauw.campuslabs.com/engage/organization/rockclimbing,
S.o.C.i.S. (Students of Color in STEM),https://depauw.campuslabs.com/engage/organization/socis,
School of Music,https://depauw.campuslabs.com/engage/organization/musicschool,
Science Research Fellows Honors Program,https://depauw.campuslabs.com/engage/organization/srf,
Sigma Alpha Epsilon,https://depauw.campuslabs.com/engage/organization/sae,
Sigma Chi,https://depauw.campuslabs.com/engage/organization/sigmachi,
Sigma Nu,https://depauw.campuslabs.com/engage/organization/sigmanu,
Social Promise,https://depauw.campuslabs.com/engage/organization/dpusocialpromise,
Society of Physics Students (SPS),https://depauw.campuslabs.com/engage/organization/societyofphysicsstudents,
Sociology and Anthropology,https://depauw.campuslabs.com/engage/organization/sociology,
South Asian Student Society,https://depauw.campuslabs.com/engage/organization/sass,
Southwest Asian anNorth African Club,https://depauw.campuslabs.com/engage/organization/swana,
Spikeball Club,https://depauw.campuslabs.com/engage/organization/spikeball,
STMS Conference,https://depauw.campuslabs.com/engage/organization/stmsconference,
Student Academic Life Division,https://depauw.campuslabs.com/engage/organization/studentacademiclife,
Student Athlete Advisory Comittee,https://depauw.campuslabs.com/engage/organization/saac,
Student Government Allocations,https://depauw.campuslabs.com/engage/organization/allocations,
Substance Abuse Prevention & Education,https://depauw.campuslabs.com/engage/organization/alcoholinitiatives,
Sustainability Leadership Program,https://depauw.campuslabs.com/engage/organization/slp,
Table Tennis Club,https://depauw.campuslabs.com/engage/organization/tabletennis,
Tenzer Technology Center,https://depauw.campuslabs.com/engage/organization/tenzer,
The Brotherhood,https://depauw.campuslabs.com/engage/organization/thebrotherhood,
THE BUDDHIST CLUB OF DEPAUW UNIVERSITY,https://depauw.campuslabs.com/engage/organization/dpubuddhistclub,
The DePauw Student Newspaper,https://depauw.campuslabs.com/engage/organization/newspaper,
The HEAT,https://depauw.campuslabs.com/engage/organization/heat,
The Multicultural Greek Council,https://depauw.campuslabs.com/engage/organization/mgc,
The X-Cell Dance Team,https://depauw.campuslabs.com/engage/organization/x-cell,
Tiger Assistants,https://depauw.campuslabs.com/engage/organization/tigerassistants,
Tiger Catholic,https://depauw.campuslabs.com/engage/organization/tiger_catholic,
Tiger Host Program,https://depauw.campuslabs.com/engage/organization/tigerhost,
Transfer Students,https://depauw.campuslabs.com/engage/organization/transferstudents,
Vietnamese Student Association,https://depauw.campuslabs.com/engage/organization/vietnameseassociation,
Volleyball Club,https://depauw.campuslabs.com/engage/organization/volleyballclub,
WGRE,https://depauw.campuslabs.com/engage/organization/wgre,
Women's Center,https://depauw.campuslabs.com/engage/organization/womenscenter,
"Women, Gender and Sexuality Studies",https://depauw.campuslabs.com/engage/organization/wgss,
World Literature,https://depauw.campuslabs.com/engage/organization/worldliterature,
Writing Program at DePauw,https://depauw.campuslabs.com/engage/organization/writingprogramatdepauw,
Young Life,https://depauw.campuslabs.com/engage/organization/younglife,
Zeta Phi Beta,https://depauw.campuslabs.com/engage/organization/zetaphibeta,
Zumba Club,https://depauw.campuslabs.com/engage/organization/depauw,
