Org,URL,Description,Image,Summary
Alpha Kappa Alpha,https://depauw.campuslabs.com/engage/organization/alphakappaalpha,"Greek Student Group: 
 Alpha Kappa Alpha Sorority, Incorporated began as vision of nine college students on the campus of Howard University in Washington, D.C. in 1908. The sorority has grown into a union of thousands of college-trained women who are bound by a powerful mystique, a real moving factor in the lives of students in more than four hundred institutions of higher learning; it is one of the most solvent corporations in the world today. 
 The Pi Lambda chapter of Alpha Kappa Alpha Sorority, Inc. was established at DePauw University on March 23, 1991 by ""The Pearls of DePauw:"" Joy Armstead, Robin Batties, Ronda Henry and Gina Ross. These first four women set out to exemplify the spirit of AKA.<br /> 
 The program theme for 2018-2022 is<em>Exemplifying Excellence Through Sustainable Service</em>. The International Program includes five program targets that are designed to advance the mission of Alpha Kappa Alpha with excellence and underscore our commitment to sustainable service. 
 The five program targets for 2018-2022 are: 
 Target 1: HBCU for Life: A Call to Action 
 Target 2: Women&rsquo;s Healthcare and Wellness 
 Target 3: Building Your Economic Legacy 
 Target 4:The Arts! 
 Target 5:Global Impact 
 Alpha Kappa Alpha's colors are Salmon Pink and Apple Green, their flower is the Pink Tea Rose and their symbol is Ivy. ",https://se-images.campuslabs.com/clink/images/8ed400de-4cf3-4994-842f-554e37c6dbb6b9df325f-ca77-4a54-9952-4017d892beb8.png,Student Groups: Greek
Alpha Phi,https://depauw.campuslabs.com/engage/organization/alphaphi,"Greek Student Group: 
 Alpha Phi International Fraternity was founded at Syracuse University on September 30, 1872. The innovative leadership and organizational practices of Alpha Phi's Founders set the spirit for the Alpha Phi of today...a sisterhood that values the past but looks forward to the progress offered by the future. 
 The sisterhood of Alpha Phi stretches from coast to coast through 170 collegiate campuses and more than 200,000 members. In 1887, the Gamma chapter of Alpha Phi was established at DePauw University. 
 The objectives of the sorority are the promotion of growth in character; unity of feeling, sisterly affection, and social communion among our members.We seek the highest ideal of womanhood, and we try to gain this ideal by cultivating not only the power and passion for seeking intellectual development but, also, the spirit of love and charity. And we who are thus united are under a solemn pledge to lend a helping hand to one another. 
 The Foundation helps fund research and educational programs that support the improvement of women's heart health through its annual Heart to Heart Cardiac Care Grant, a $50,000 award towards better understanding gender differences in heart health through increasing heart disease prevention and treatment in women. The fraternity considers the first Friday of February as Red Dress Pin Day and the month of February as Cardiac Care Month where individual Alpha Phi chapters are encouraged to develop a relationship with a local cardiac care project in their community as well as to promote awareness of women's heart disease. 
 Alpha Phi's colors are Silver and Bordeaux, their flowers are the Forget-Me-Not and the Lily of the Valley and their symbols are Ivy and the ""Phi Bear."" ",https://se-images.campuslabs.com/clink/images/40df4b37-c84c-4a9b-b81f-e7328a1f1c40ac639c73-e601-40ed-aaf7-7d08666606e4.png,Student Groups: Greek
Alpha Phi Alpha,https://depauw.campuslabs.com/engage/organization/alphaphialpha,"Greek Student Group: 
 Alpha Phi Alpha, the first intercollegiate Greek-letter fraternity established for African American Men, was founded at Cornell University in Ithaca, New York by seven college men who recognized the need for a strong bond of brotherhood among African descendants in this country.Since its founding on December 4, 1906, Alpha Phi Alpha Fraternity, Inc. has supplied voice and vision to the struggle of African Americans and people of color around the world. 
 In Spring 2005, the Rho Tau chapter of Alpha Phi Alpha was established at DePauw University. 
 The fraternity initially served as a study and support group for minority students who faced racial prejudice, both educationally and socially, at Cornell. The Jewel founders and early leaders of the fraternity succeeded in laying a firm foundation for Alpha Phi Alpha's principles of scholarship, fellowship, good character, and the uplifting of humanity. 
 Alpha Phi Alpha Fraternity, Inc. develops leaders, promotes brotherhood and academic excellence, while providing service and advocacy for our communities. 
 The objectives of this Fraternity shall be: to stimulate the ambition of its members; to prepare them for the greatest usefulness in the causes of humanity, freedom, and dignity of the individual; to encourage the highest and noblest form of manhood; and to aid down-trodden humanity in its efforts to achieve higher social, economic and intellectual status. 
 Alpha Phi Alpha's colors are Old Gold and Black, and their flower is Yellow Rose. ",https://se-images.campuslabs.com/clink/images/7f0dcde9-8ab1-4fbf-9413-5b681d4d053f4e665850-0614-4074-b7fd-a3cb16c13fc3.png,Student Groups: Greek
Alpha Psi Omega (Duzer Du),https://depauw.campuslabs.com/engage/organization/alphapsiomega,"Alpha Psi Omega, Duzer Du chapter is the student-led theatre fraternity on DePauw's campus! We offer many events throughout the year including student-run productions, theatre festivals, and new plays. 
  
 Our annual events: 
 Shakespeare in the Park: Held at the start of the fall semester, Shakespeare in the Park is a student-run Shakespeare production in the Theta Gardens behind the GCPA. Auditions are held in the spring, and anyone is welcome! 
  
 Insomniac Theatre: Held two times a year, Insomniac Theatre is Duzer Du's 24-hour theatre festival! Join us as students can write, direct, act, and be the technical support in these wacky short plays. The time commitment is small, but the fun is huge! 
  
 Playwrights Festival: If you've ever written a play or want an easy way to step into the theatre world, Duzer's Playwrights Festival is the thing for you! Held once yearly, the Festival takes submissions of short plays from across DePauw's campus. Plays are then directed and performed by DePauw students! 
  
 All of our events are open to all DePauw students! Whether you're an experienced actor or have never done theatre before, we'd love to have you! ",https://se-images.campuslabs.com/clink/images/0ab592c9-7bc0-4344-b3dc-d524ec27d7bece36de88-6d4b-4704-bdef-077c89678962.png,Student Groups: DSG-Recognized 
Alpha Tau Omega,https://depauw.campuslabs.com/engage/organization/alphatauomega,"Greek Student Group: 
 Alpha Tau Omega was nationally founded at the Virginia Military Institute on September 11, 1865. The future members of Alpha Tau Omega were founders of the Commons Club (1912-1915), Beta Phi National Fraternity (1915-1920) and later, Delta Sigma Phi, a local fraternity (1920-1924). In 1924, the Delta Rho chapter of Alpha Tau Omega was established here at DePauw University. 
  
 ATO was honored by the Smithsonian Institute for innovative use of technology with an award for Information Technology in the field of Government and Non-Profit Organizations in June 1995. The award was given for ATO's innovative use of CompuServe as an online communications tool. 
  
 After more than 84 years with its national office in Champaign, IL, the ATO National Headquarters moved to Indianapolis, IN, on December 13, 1995. 
  
 ATO annually ranks among the top ten national fraternities for number of chapters and total number of members. ATO has more than 250 active and inactive chapters with more than 200,000 members and more than 6,500 undergraduate members. 
  
 Alpha Tau Omega's colors are Azure Blue and Gold and their flower is the White Tea Rose. ",https://se-images.campuslabs.com/clink/images/fa8d215d-77ff-46e2-a4ba-1daca0909414e216c5fe-d38d-4e3d-901e-c576fa5e6da5.jpg,Student Groups: Greek
Art Galleries & University Collections,https://depauw.campuslabs.com/engage/organization/artcollections,"Mission Statement 
 As a teaching museum, the Peeler Art Center Galleries &amp; Collections educate, enrich, and inspire visitor&rsquo;s lives through exhibits and collections. We connect museum resources to DePauw University&rsquo;s liberal arts curriculum for the benefit of campus and community. 
 The Peeler Art Center Galleries &amp; Collections fulfills its mission by: 
<ol>
<li>Facilitating visitor engagement.</li>
<li>Emphasizing undergraduate research and faculty/staff collaboration.</li>
<li>Curating original and traveling exhibitions.</li>
<li>Employing museum best practices in safeguarding and preserving collections.</li>
</ol>
 Vision Statement 
 The Peeler Art Center Galleries &amp; Collections at DePauw University functions as an interdisciplinary hub, one in which campus and community can share and appreciate the benefits of visual literacy. Our resources will serve all visitors by creating lifelong learners who value the cultural significance of museums in the 21st century. 
 Through this practice, we will become an innovative leader of small academic museums. ",https://se-images.campuslabs.com/clink/images/96af3313-0d4e-4c38-bcce-60d1927bb609fd433bbf-022d-4f56-8a1f-7d986d50090f.jpg,Faculty and Staff Groups: University Offices & Programs
Arts and Crafts Club,https://depauw.campuslabs.com/engage/organization/artsandcrafts,We will be hosting events to make various crafts as well as hopefully collaborating with community organizations in the future. ,https://se-images.campuslabs.com/clink/images/0e7ae1ab-5ee7-4cd1-8dc6-a870a5410ecedbdd1e7a-bae1-4458-924e-6dadae97c54b.jpeg,Student Groups: DSG-Recognized 
Arts at DePauw,https://depauw.campuslabs.com/engage/organization/performingartsseries,,,Faculty and Staff Groups: University Offices & Programs
"Asher Office of Undergraduate Research, Scholarship & Creative Activity",https://depauw.campuslabs.com/engage/organization/asher,,,Faculty and Staff Groups: University Offices & Programs
Asian Studies,https://depauw.campuslabs.com/engage/organization/asianstudies,,,Faculty and Staff Groups: Academic Departments
Association for Computing Machinery - Women,https://depauw.campuslabs.com/engage/organization/acm-w,We are a community of Women in Computer Science. We are going to have technical events and workshops to support female students who major/are interested in Computer Science. ,https://se-images.campuslabs.com/clink/images/da2f4fe5-dc5f-4bdf-a36e-8efabfbecb1682f962cd-51fb-417d-a621-14337b973d1a.png,Student Groups: DSG-Recognized 
Association of African-American Students,https://depauw.campuslabs.com/engage/organization/aaas,"The mission of the Association of African American Students is to educate by providing space, access to resources, and creating diverse programming that centers Blackness and challenges social exclusion and oppression. Through our education and our community action, we seek to empower those in our community to explore, understand, and appreciate Blackness and/at its intersections. To ensure we achieve these aims and to protect our communities, we will execute strategic responses to end discriminatory acts against all Black people. PERIOD. ",https://se-images.campuslabs.com/clink/images/7d6f4fb9-9b37-464a-84dc-be290199ffaa2ed020ab-220b-401f-b413-d8c37580757f.jpg,Student Groups: DSG-Recognized 
Athletics,https://depauw.campuslabs.com/engage/organization/edit,,,Faculty and Staff Groups: University Offices & Programs
Best Buddies International,https://depauw.campuslabs.com/engage/organization/depauwbestbuddies,,,Student Groups: DSG-Recognized 
Beta Theta Pi,https://depauw.campuslabs.com/engage/organization/betathetapi,"Greek Student Group: 
 Beta Theta Pi was nationally founded in 1839 at Miami University in Oxford, Ohio, where it is part of the<span class=""x_x_x_x_mw-redirect"">Miami Triad</span>which includes Phi Delta Theta and Sigma Chi fraternities. 
 In 1845, the Delta chapter of Beta Theta Pi was established at DePauw as the first fraternity on our campus. 
 The five core values espoused by Beta Theta Pi are cultivation of intellect, responsible conduct, mutual assistance, integrity and trust.<sup id=""x_x_x_x_cite_ref-Romano_3-0"" class=""x_x_x_x_reference""></sup>These are the underpinnings for their mission statement to ""develop men of principle for a principled life."" In 1879, Beta Theta Pi became the first college fraternity to publish its constitution. The fraternity continues to guard certain secrets about membership. Similar to other fraternities, Beta Theta Pi's code emphasizes international fellowship, cultural development and cooperation . 
 Beta Theta Pi's colors are Light Pink and Light Blue and their flower is the Rose. ",https://se-images.campuslabs.com/clink/images/9a27a2eb-0d58-472d-a7ca-6926fdfcc759669a9ad0-99b5-44ea-b568-bcdbf7f4eb36.gif,Student Groups: Greek
Biology Department,https://depauw.campuslabs.com/engage/organization/biologydepartment,Faculty and Staff Groups: Academic Departments ,,Faculty and Staff Groups: University Offices & Programs
Biology Greenhouse,https://depauw.campuslabs.com/engage/organization/biologygreenhouse,,,Faculty and Staff Groups: University Offices & Programs
Bon Appetit,https://depauw.campuslabs.com/engage/organization/bonappetit,"The Hoover Dining Hall is a full service all you care to eat dining facility located in the heart of the DePauw University campus. We are open to not only the students and faculty of DePauw University but to the local Greencastle community as well. The mission of the Hoover Dining Hall is to provide a one of a kind dining experience to our students, faculty and guests of the facility. Meals are made from scratch with a focus on fresh and local ingredients with a emphasis on authenticity of regional and international cuisines. We hope that you will join us at Hoover for a unique dining experience and we look forward to seeing you. 
 Need a quick snack, lunch on-the-go, or a meal for later? Visit the C-Store located in the Student Union Building! We offer baked goods, fresh fruit, hand crafted sandwiches, various salads, bottled beverages, and freshly brewed coffee. All your grab-and-go needs can be found at the C-Store! 
 Cafe Allegro is located in the Green Center of Performing Arts. Here you can enjoy a hot and fresh cup of Julian Coffee Roasters coffee or a creamy latte. For breakfast, we offer freshly baked goods or a delicious Scholars Inn bagel. Don't forget us for lunch and dinner; we have made from scratch soups and delicious sandwiches. 
 Cafe Roy is located in Roy O West library.Here you can enjoy a steaming cup of Julian Coffee Roasters coffee or a custom latte. For breakfast, we provide fresh baked goods or Scholars Inn bagels. Cafe Roy also has made from scratch soups, delicious sandwiches, and many of the offerings found at Cafe Allegro. ",https://se-images.campuslabs.com/clink/images/b2a78f07-f47f-41ca-ad90-86e795e52f11f0fd90a2-8a2f-4a35-992e-b591a4d4c403.jpg,Faculty and Staff Groups: University Offices & Programs
Bonner Scholars,https://depauw.campuslabs.com/engage/organization/bonner,,,Faculty and Staff Groups: University Offices & Programs
Brazilian Jiu-Jitsu Club,https://depauw.campuslabs.com/engage/organization/brazilianjitsu,Depauw Brazilian Jiu-Jitsu club is a club dedicated to the learning and practice of the art of Brazilian Jiu-Jitsu. ,https://se-images.campuslabs.com/clink/images/25487e63-0d23-43af-995e-193c255cd38e92f1f964-2737-42ff-92a7-c348f01121a3.jpg,Student Groups: DSG-Recognized 
Campus Activities,https://depauw.campuslabs.com/engage/organization/campusactivities,"Campus Activities has something for you to do! 
  
 Thursday: Trivia in the Campus Living Room at the Union Building! Starts at 7 PM 
 Friday: Food trucks in front of the Union Building from 10 PM - Midnight 
 Weekends: It's a suprise! Check campuslabs and our social media for what to expect! ",https://se-images.campuslabs.com/clink/images/afad6d8a-9732-4987-8f37-bf6a39d0b15d71386662-e86d-465b-ab20-f3f6715105d6.jpg,Student Groups: Department-Recognized 
Campus Labs IT Group,https://depauw.campuslabs.com/engage/organization/itgroup,"This group is intended for members of <a title=""Link to IS"" href=""https://www.depauw.edu/it"" target=""_blank"" rel=""noopener""> Information Services</a> at DePauw University. ",https://se-images.campuslabs.com/clink/images/3bc1e8d5-1bf1-4535-8a74-1f094bf24558415c3541-d65e-4dd4-88f6-69249292d916.jpg,Faculty and Staff Groups: University Offices & Programs
Campus Labs Training and Support,https://depauw.campuslabs.com/engage/organization/campuslabssupport,"Training resources and step-by-step directions for using Campus Labs are available in the Documents section of this organization. If you have additional questions, you can email campuslabs@depauw.edu. 
 Find step-by-step training resources on the <a href=""https://kb.depauw.edu/?page_id=12084"">KnowledgeBase</a> 
 <a href=""https://kb.depauw.edu/?page_id=12367"">Overview of Campus Labs</a> 
 <a href=""https://kb.depauw.edu/?page_id=12364"">Key Terms</a> while using Campus Labs 
 <a href=""https://kb.depauw.edu/?page_id=12123"">Creating Events</a> 
 <a href=""https://kb.depauw.edu/?page_id=12477"">Tracking Event Participation</a> 
 <a href=""https://kb.depauw.edu/?page_id=12430"">Tracking Attendance Using Card Readers</a> ",,Faculty and Staff Groups: University Offices & Programs
CampusLabs,https://depauw.campuslabs.com/engage/organization/studentorganizations,,,Branch
Caribbean Student Association,https://depauw.campuslabs.com/engage/organization/caribbeanstudentassociation,"The CSA strives to educate the DePauw campus &amp; community about Caribbean culture, empower individuals from Caribbean backgrounds and the Diaspora &amp; connect communities through Caribbean Culture 
 Est. 2016 ",https://se-images.campuslabs.com/clink/images/d9ccd6be-a3c1-4621-809d-19d1dc7c9b47a5de6a69-fc34-41f2-a06e-c044b2606c54.JPG,Student Groups: DSG-Recognized 
Cash Receipts Office,https://depauw.campuslabs.com/engage/organization/cashreceipts,"<p style=""text-align: left;"">Payment Services in the Business Office at DePauw University is responsible for issuing monthly account statements for tuition, fees, and room and board, as well as room and board charges for certain Greek houses. The office is located in the lower level of the Studebaker Administration Building. Business hours are 8:30 am to 4:30 pm. ",https://se-images.campuslabs.com/clink/images/ab5b8b54-796f-48be-9ac4-3790fc0a4d6c5b4469d7-d10f-41c5-bdad-4e48e41e0642.PNG,Faculty and Staff Groups: University Offices & Programs
CDI Leadership CLUB,https://depauw.campuslabs.com/engage/organization/cdileadershipclub,,https://se-images.campuslabs.com/clink/images/2e906090-1374-4333-809a-86af11b7ddf65ca3e8da-b734-455a-8140-a0ae5ee5c3de.png,Student Groups: DSG-Recognized 
Center for Spiritual Life,https://depauw.campuslabs.com/engage/organization/spirituallife,,,Faculty and Staff Groups: University Offices & Programs
Center for Sustainability,https://depauw.campuslabs.com/engage/organization/sustain,"The Center for Sustainability creates opportunities for student-driven environmental initiatives, educates campus about how the environment (and its long-term health) intersects with societal well-being, and supports institutional-initiatives that demonstrate the university&rsquo;s commitment to environmental stewardship. ",https://se-images.campuslabs.com/clink/images/cae3b7d5-2765-4d3d-a366-0727a17aa361beca36a9-a99b-4b3b-8fe7-14b0d4851380.jpg,Faculty and Staff Groups: University Offices & Programs
Chemistry Department,https://depauw.campuslabs.com/engage/organization/chem,,https://se-images.campuslabs.com/clink/images/081400ba-deb5-40b8-bc1a-d13cfac14158b4a572a7-97a6-4b76-8159-221f73ce6105.jpg,Faculty and Staff Groups: Academic Departments
Civic Fellows,https://depauw.campuslabs.com/engage/organization/civicfellows,"<p class=""x_x_x_introduction"">Civic Fellows is an elite group of 20 students who commit to engaging in civic service and advocacy for the duration of their college careers. ",https://se-images.campuslabs.com/clink/images/1561c997-1abe-4a3e-8127-daee4e4eb2945640b38c-e551-4290-8aef-72e9378fd5d8.jpg,Student Groups: DSG-Recognized 
Classical Studies,https://depauw.campuslabs.com/engage/organization/classics,,,Faculty and Staff Groups: Academic Departments
Classics Club,https://depauw.campuslabs.com/engage/organization/classicsclub,,https://se-images.campuslabs.com/clink/images/1a4667de-77f3-4008-ba34-140549ab24ca3cfcb1ae-cdee-4a78-9617-cf8a401fd8e6.jpg,Student Groups: DSG-Recognized 
College Mentors for Kids,https://depauw.campuslabs.com/engage/organization/collegementorsforkids,"In 1995, Indiana University students Heidi Schmidt and Kristin Huang were united by a common goal: to improve children's lives by encouraging education. After a<span class=""x_x_x_text_exposed_show""> year of planning College Mentors for Kids opened its doors as an official nonprofit organization in 1996.<br style=""display: inline; font-family: Helvetica,Arial,sans-serif;"" /><br style=""display: inline; font-family: Helvetica,Arial,sans-serif;"" />Today, College Mentors has 23 chapters at colleges and universities across Indiana, Illinois and Ohio. With roughly 1,600 volunteer college students, we're able to mentor more than 1,400 kids. Our growth has been possible thanks to the unwavering support of dedicated staff members, board of directors, partners, college mentors, alumni and donors.</span> ",,Student Groups: DSG-Recognized 
Committee for Latinx Concerns,https://depauw.campuslabs.com/engage/organization/committeeforlatinoconcerns,"Committee for Latinx Concerns (CLC) 
 <span style=""font-weight: 400;"">The Committee for Latinx Concerns is a student organization open to ALL DePauw University students. CLC, through positive outreach, strives to offer students an open, safe, and fun atmosphere. We lead DePauw to an understanding of different Latinx cultures by diversifying and educating the campus with creative activities. Committed to collective leadership and active responsibility for change, CLC combines open-minded interaction with a drive for success.</span> 
 <br /><br /> ",https://se-images.campuslabs.com/clink/images/c2be720a-b95f-46e1-9a5d-9f8bd97cfd50d779fa4c-bb39-4ce2-bea6-1cc4457bff5c.png,Student Groups: DSG-Recognized 
Communication Department,https://depauw.campuslabs.com/engage/organization/communication,,,Faculty and Staff Groups: Academic Departments
Compton Center for Peace and Justice,https://depauw.campuslabs.com/engage/organization/compton,,,Faculty and Staff Groups: University Offices & Programs
Computer Science Department,https://depauw.campuslabs.com/engage/organization/computerscience,,,Faculty and Staff Groups: Academic Departments
Computing Opportunities for Students of Color,https://depauw.campuslabs.com/engage/organization/csoc,"COSOC seeks to recruit, retain, and celebrate students of color. The club explores graduate school and local-area IT industries. It showcases speakers of color; it helps students attend national-level conferences for students of color in computing. Most of all, COSOC builds community for DePauw students of color who are majoring in computer science. ",https://se-images.campuslabs.com/clink/images/3475ac28-60d5-4670-8442-88d504832a5463a700bc-7de9-44d4-a23a-09dc36f2e0e2.png,Student Groups: DSG-Recognized 
Connections Mentor Program,https://depauw.campuslabs.com/engage/organization/connectionsmentoringprogram,"<p class=""x_x_x_x_x_x_x_introduction"">The Connections Mentor program is committed to providing intentional support for first year students of color specifically in their personal, social and academic transitions at DePauw University. As they prepare to navigate the university during their first year, Connections Mentors serve as a peer resource and support to assist them on their journey. 
<p align=""center""><strong>Goals</strong> 
<ul>
<li>Provide academic, personal, co-curricular and social support for first year students of color</li>
<li>Assist students with navigating the college environment and resources</li>
<li>Foster relationships between students, faculty, staff, and community members</li>
</ul>
 <strong>Who is Eligible?</strong> 
 The Connections Mentor program are for students that self-identify as part of an underrepresented community such as African-American, Latino, Asian, Native/Indigenous, or Multi-Racial/Ethnic. 
 Connections is a voluntary opt-in program for those students interested in having a Mentor and who have filled out the proper paperwork will be assigned one. However, once admitted to the program, students are expected to adhere to the following guidelines: 
 <strong>Participation Requirements</strong> 
<ul>
<li>Maintain consistent contact with your Connections Mentor</li>
<li>Attend campus events with your Connections Mentor to your discretion</li>
<li>Maintain engaged with the program for the entire academic year</li>
<li>Attend monthly social or education program provided by the CDI</li>
</ul>
 <strong>Connections Mentor Requirements</strong> 
<ul>
<li>Contact their assigned students prior to their arrival at DePauw</li>
<li>Introduce themselves to student and families on move-in day to establish relationships</li>
<li>Attend the CDI Welcome Cookout on the first day of classes with students in their group</li>
<li>Have bi-weekly contact with mentees during the first semester</li>
<li>Host a monthly social or educational program</li>
<li>Attend training sessions prior to students arrival</li>
<li>Attend monthly Mentor group meeting</li>
<li>Maintain at least a 2.5 GPA (semester and cumulative)</li>
</ul>",https://se-images.campuslabs.com/clink/images/e547d317-9cde-49c3-86fd-42abdec107bfb0039a90-aa70-4c73-a6a5-2a6cb5f4a95d.png,Student Groups: Department-Recognized 
Contemporary Ensemble Club,https://depauw.campuslabs.com/engage/organization/contemporaryensembleclub,"A club to enjoy contemporary music through performance, composition, and improvisation. ",https://se-images.campuslabs.com/clink/images/2796bf9e-537c-4176-83f7-1bd59237e83c74a3af40-273c-4360-a89e-9ab82e8ba66d.JPG,Student Groups: DSG-Recognized 
Coordinator of Academic Talks,https://depauw.campuslabs.com/engage/organization/talk,,,Faculty and Staff Groups: University Offices & Programs
Counseling Services,https://depauw.campuslabs.com/engage/organization/counselingservices,,,Faculty and Staff Groups: University Offices & Programs
Counseling Services Outreach Program,https://depauw.campuslabs.com/engage/organization/counselingoutreach,"DePauw University Counseling Services is hosting, co-sponsoring, or participating in a number of campus events throughout the academic year.DePauw University Counseling Services is here to help students develop the personal awareness and skills necessary to overcome problems, make effective decisions, and grow and develop in ways that will allow them to maximize their total educational experience at DePauw University. We view outreach and programming as an integral part of this mission and an essential tool for prevention, wellness, and promotion of a supportive campus climate for all members of the DePauw community. ",https://se-images.campuslabs.com/clink/images/68728689-fe63-40c6-b745-86a05d21745cac5b16e5-f106-4776-b703-7bf433862a71.png,Faculty and Staff Groups: University Offices & Programs
D3TV - DePauw Student Television,https://depauw.campuslabs.com/engage/organization/d3tv,D3TV &ndash; DePauw Student Television ,,Student Groups: Department-Recognized 
Data Analytics Group,https://depauw.campuslabs.com/engage/organization/dataanalytics,,,Faculty and Staff Groups: University Offices & Programs
Dean of Students Office,https://depauw.campuslabs.com/engage/organization/deanofstudents," 
  ",,Faculty and Staff Groups: University Offices & Programs
